Gemeentecode,GemeentecodeGM,Gemeentenaam,GeoGemeentenaam,Provinciecode,ProvinciecodePV,Provincienaam,"asylum_migrants","avg_household_income","avg_woz","avg_ww_ratio","flag_color1","flag_color2","flag_color3","flag_color4",latitude,longitude,murders,population,province,"shield_crown","shield_symbol_1","shield_symbol_2","shield_symbol_3","shieldholder_1","shieldholder_2","surface_km2","surface_land_km2","surface_water_km2",university,year
1680,GM1680,"Aa en Hunze","Aa en Hunze",22,PV22,Drenthe,NA,NA,NA,NA,green,yellow,NA,NA,"53.010485","6.749528",NA,25243,Drenthe,crown,crown,cross,NA,deer,deer,"278.9","276.4","2.5",0,2018
0358,GM0358,Aalsmeer,Aalsmeer,27,PV27,"Noord-Holland",NA,NA,NA,NA,red,green,black,NA,"52.262164","4.761922",NA,30792,"Noord-Holland",NA,lion,eel,NA,NA,NA,"32.3","20.4","11.9",0,2018
0197,GM0197,Aalten,Aalten,25,PV25,Gelderland,NA,NA,NA,NA,white,green,NA,NA,"51.926667","6.580678",NA,27030,Gelderland,crown,tree,sword,NA,NA,NA,97,"96.5","0.5",0,2018
0059,GM0059,Achtkarspelen,Achtkarspelen,21,PV21,Friesland,NA,NA,NA,NA,white,red,green,blue,"53.210357","6.153565",NA,28002,Friesland,crown,church,NA,NA,NA,NA,104,"102.4","1.6",0,2018
0482,GM0482,Alblasserdam,Alblasserdam,28,PV28,"Zuid-Holland",NA,NA,NA,NA,yellow,red,NA,NA,"51.870337","4.670202",NA,19822,"Zuid-Holland",NA,lion,NA,NA,NA,NA,"10.1","8.8","1.3",0,2018
0613,GM0613,Albrandswaard,Albrandswaard,28,PV28,"Zuid-Holland",NA,NA,NA,NA,red,yellow,white,blue,"51.858068","4.423187",NA,25044,"Zuid-Holland",crown,shield,NA,NA,NA,NA,"23.8","21.9","1.9",0,2018
0361,GM0361,Alkmaar,Alkmaar,27,PV27,"Noord-Holland",NA,NA,NA,NA,red,white,NA,NA,"52.632842","4.755037",NA,94906,"Noord-Holland",laurel,stronghold,NA,NA,lion,lion,"31.2","29.3","1.9",0,2018
0141,GM0141,Almelo,Almelo,23,PV23,Overijssel,NA,NA,NA,NA,blue,white,NA,NA,"52.367027","6.668492",NA,72435,Overijssel,crown,diamond,NA,NA,lion,lion,"69.4","67.4",2,0,2018
0034,GM0034,Almere,Almere,24,PV24,Flevoland,NA,NA,NA,NA,red,yellow,blue,white,"52.350785","5.264702",NA,196156,Flevoland,crown,cog,lily,NA,seahorse,seahorse,"248.8","129.6","119.2",0,2018
0484,GM0484,"Alphen aan den Rijn","Alphen aan den Rijn",28,PV28,"Zuid-Holland",NA,NA,NA,NA,blue,white,yellow,NA,"52.111222","4.647251",NA,106809,"Zuid-Holland",crown,star,stronghold,NA,lion,lion,"132.5","126.6","5.9",0,2018
1723,GM1723,"Alphen-Chaam","Alphen-Chaam",30,PV30,"Noord-Brabant",NA,NA,NA,NA,green,white,NA,NA,"51.509135","4.861589",NA,9712,"Noord-Brabant",crown,mountain,comb,NA,bird,bird,"93.5",93,"0.5",0,2018
1959,GM1959,Altena,Altena,30,PV30,"Noord-Brabant",NA,NA,NA,NA,yellow,red,green,blue,"51.808165","4.891848",NA,26400,"Noord-Brabant",crown,martlet,fish,corn,NA,NA,"121.8","104.6","17.2",0,2018
0060,GM0060,Ameland,Ameland,21,PV21,Friesland,NA,NA,NA,NA,blue,yellow,black,white,"53.440564","5.658766",NA,3565,Friesland,crown,moon,NA,NA,NA,NA,"268.5","58.8","209.7",0,2018
0307,GM0307,Amersfoort,Amersfoort,26,PV26,Utrecht,NA,NA,NA,NA,red,white,NA,NA,"52.156111","5.387827",NA,150943,Utrecht,crown,cross,NA,NA,lion,lion,"63.9","62.9",1,0,2018
0362,GM0362,Amstelveen,Amstelveen,27,PV27,"Noord-Holland",NA,NA,NA,NA,red,black,white,NA,"52.311421","4.870087",NA,85135,"Noord-Holland",NA,cross,NA,NA,NA,NA,"44.1","41.5","2.6",0,2018
0363,GM0363,Amsterdam,Amsterdam,27,PV27,"Noord-Holland",NA,NA,NA,NA,red,white,black,NA,"52.370216","4.895168",NA,853312,"Noord-Holland",crown,cross,NA,NA,lion,lion,"219.3","165.8","53.6",2,2018
0200,GM0200,Apeldoorn,Apeldoorn,25,PV25,Gelderland,NA,NA,NA,NA,red,yellow,white,green,"52.211157","5.969923",NA,157535,Gelderland,NA,eagle,key,NA,NA,NA,"341.2","339.9","1.2",0,2018
